city,out_degree,in_degree
HuiZhou,340.5507415035481,374.66016593700505
DongGuan,626.3500194449352,576.071855867644
ZhongShan,321.06960132848906,299.8491138181234
GuangZhou,731.7854338285658,766.1556628139581
FoShan,593.7508328631667,576.0207168162121
ShenZhen,650.0074391562581,619.6226952984374
JiangMen,150.09914764768914,159.1585698750601
ZhaoQing,115.7711099984221,128.96739894452188
ZhuHai,178.9715639479753,207.84971034808746
