city,out_flow,in_flow,net_flow,date
DongGuan,666.7131805,686.6256081600001,19.912427640000033,20241104
DongGuan,511.0003357,471.79088539200006,-39.20945033,20241105
DongGuan,502.7945076,468.8558928,-33.93861476,20241106
DongGuan,531.4752951,504.57138062399997,-26.90391445,20241107
DongGuan,553.5337590720001,515.8114755,-37.72228352,20241108
DongGuan,713.3978788,658.3730272,-55.02485164,20241109
DongGuan,702.1091713,617.4978967440001,-84.61127452,20241110
FoShan,694.5080901,582.4531761119999,-112.054914,20241104
FoShan,496.2805485,498.72135520800003,2.4408066960000383,20241105
FoShan,474.36442289999997,473.51614262399994,-0.848280276,20241106
FoShan,544.3347743999999,488.8349624,-55.49981198,20241107
FoShan,537.2310912,557.9052448,20.67415358400001,20241108
FoShan,637.9842052,723.7558277,85.77162252000005,20241109
FoShan,648.0120398399999,602.782665,-45.22937486,20241110
GuangZhou,749.5139842,882.7199947,133.20601048799995,20241104
GuangZhou,600.5481491,609.9246271,9.376478027999951,20241105
GuangZhou,585.6407568,579.0720028320001,-6.568753968,20241106
GuangZhou,598.4612534160001,652.6871862,54.225932759999864,20241107
GuangZhou,711.8033867,686.3379412,-25.4654455,20241108
GuangZhou,961.2039467520001,861.3021713400001,-99.90177541,20241109
GuangZhou,765.2115424799999,826.7798482,61.56830574000003,20241110
HuiZhou,467.38605938399996,335.16362476800003,-132.2224346,20241104
HuiZhou,256.44754288800004,285.3183003,28.870757423999976,20241105
HuiZhou,247.29500750399998,286.5503414,39.25533391,20241106
HuiZhou,298.7056213,280.32833937600003,-18.37728194,20241107
HuiZhou,282.2162926,332.27279568000006,50.05650312000006,20241108
HuiZhou,330.28497986400004,540.8868134,210.6018335,20241109
HuiZhou,384.3634952,412.52351036399995,28.160015147999957,20241110
JiangMen,167.9766974,163.04073238799998,-4.93596504,20241104
JiangMen,120.7870646,131.9647746,11.177710020000006,20241105
JiangMen,115.03742763599999,126.89541648000001,11.857988844000019,20241106
JiangMen,121.33887123599999,131.2297939,9.890922635999999,20241107
JiangMen,138.64840502400003,146.693118,8.044712963999984,20241108
JiangMen,160.9541423,217.3655153,56.41137302,20241109
JiangMen,168.0180862,188.0720516,20.053965419999997,20241110
ShenZhen,675.9753018,786.8109144,110.83561257600002,20241104
ShenZhen,503.66322547199997,479.195562,-24.46766352,20241105
ShenZhen,503.14196066399995,482.4923397,-20.64962095,20241106
ShenZhen,520.5517695,539.3282039,18.776434391999942,20241107
ShenZhen,576.4545879,541.4905835,-34.96400446,20241108
ShenZhen,929.2283673120002,648.3819409,-280.8464264,20241109
ShenZhen,689.1665565,688.7359951,-0.430561332,20241110
ZhaoQing,131.8152761,119.9640475,-11.85122858,20241104
ZhaoQing,85.85143571,91.33899746,5.487561756000005,20241105
ZhaoQing,79.7139792,89.30896542,9.59498622,20241106
ZhaoQing,82.91856146400002,92.45001355199999,9.531452087999966,20241107
ZhaoQing,102.71181931199999,109.56625023599999,6.854430923999999,20241108
ZhaoQing,126.69336198000002,169.3853859,42.69202394399997,20241109
ZhaoQing,119.64126513599999,153.6255448,33.98427964800001,20241110
ZhongShan,381.88620676799997,299.64057191999996,-82.24563485,20241104
ZhongShan,270.2144707,272.31950584799995,2.1050351279999404,20241105
ZhongShan,258.9797811,254.4651725,-4.514608548,20241106
ZhongShan,308.0866752,260.21908368000004,-47.86759152,20241107
ZhongShan,286.5319058,297.48852827999997,10.956622463999963,20241108
ZhongShan,325.53798976800005,362.90887390800003,37.37088413999999,20241109
ZhongShan,343.0543978799999,308.6445659,-34.40983194,20241110
ZhuHai,172.52554175999998,251.8816681,79.35612638400002,20241104
ZhuHai,159.3285115,163.54727625599998,4.218764795999988,20241105
ZhuHai,151.362107,157.17367656000002,5.811569532000021,20241106
ZhuHai,144.8037486,201.0276066,56.22385802399998,20241107
ZhuHai,184.2323661,185.7976766,1.565310420000003,20241108
ZhuHai,227.7704497,230.695766,2.9253162960000054,20241109
ZhuHai,189.041492,209.9559687,20.91447669600001,20241110
