city,closeness_distance,betweenness_distance
DongGuan,0.009791921664626682,0.017857142857142856
FoShan,0.010101010101010102,0.0
GuangZhou,0.010217113665389528,0.017857142857142856
HuiZhou,0.006196746707978312,0.0
JiangMen,0.009708737864077669,0.0
ShenZhen,0.0081799591002045,0.0
ZhaoQing,0.0064,0.0
ZhongShan,0.010666666666666666,0.0
ZhuHai,0.008072653884964682,0.0
