city1,city2,scaled_flow
DongGuan,FoShan,65.99644592253904
DongGuan,GuangZhou,267.2862005733153
DongGuan,HuiZhou,248.71927101411444
DongGuan,JiangMen,18.534278237356915
DongGuan,ShenZhen,577.2854815121331
DongGuan,ZhaoQing,13.743123323413112
DongGuan,ZhongShan,33.251348263354835
DongGuan,ZhuHai,19.568487999633714
FoShan,GuangZhou,660.7965749839418
FoShan,HuiZhou,33.42323242414152
FoShan,JiangMen,95.90514433833093
FoShan,ShenZhen,64.12421950602706
FoShan,ZhaoQing,118.34403664094486
FoShan,ZhongShan,130.29618297289073
FoShan,ZhuHai,30.248738375300725
GuangZhou,HuiZhou,132.58074981472632
GuangZhou,JiangMen,72.26081222280123
GuangZhou,ShenZhen,199.8810493556628
GuangZhou,ZhaoQing,76.24510395572531
GuangZhou,ZhongShan,91.797437910718
GuangZhou,ZhuHai,61.814694360924015
HuiZhou,JiangMen,5.983116572303851
HuiZhou,ShenZhen,367.92582483865965
HuiZhou,ZhaoQing,5.537079548541104
HuiZhou,ZhongShan,12.367136877340275
HuiZhou,ZhuHai,7.937863563296567
JiangMen,ShenZhen,23.14958254239333
JiangMen,ZhaoQing,10.283515097469301
JiangMen,ZhongShan,76.88293464830384
JiangMen,ZhuHai,31.06599496183142
ShenZhen,ZhaoQing,12.432174948224764
ShenZhen,ZhongShan,64.51227551403122
ShenZhen,ZhuHai,39.897089417519254
ZhaoQing,ZhongShan,10.826751149569201
ZhaoQing,ZhuHai,5.901074109889699
ZhongShan,ZhuHai,233.680641778564
