city1,city2,scaled_flow
DongGuan,FoShan,62.60006992787999
DongGuan,GuangZhou,262.23252581592
DongGuan,HuiZhou,215.67087947231997
DongGuan,JiangMen,17.064629199360002
DongGuan,ShenZhen,571.6032862158002
DongGuan,ZhaoQing,12.32191512792
DongGuan,ZhongShan,30.162192056639995
DongGuan,ZhuHai,15.28850207052
FoShan,GuangZhou,679.4631470923199
FoShan,HuiZhou,20.56863680208
FoShan,JiangMen,89.86535434871999
FoShan,ShenZhen,55.28220799319999
FoShan,ZhaoQing,114.34601282615998
FoShan,ZhongShan,132.64172939879998
FoShan,ZhuHai,21.594549389399997
GuangZhou,HuiZhou,90.69973962443999
GuangZhou,JiangMen,64.6631649072
GuangZhou,ShenZhen,181.74129359975998
GuangZhou,ZhaoQing,71.1152447472
GuangZhou,ZhongShan,86.16435024888003
GuangZhou,ZhuHai,50.68160015904
HuiZhou,JiangMen,4.4233221204
HuiZhou,ShenZhen,337.64763440448
HuiZhou,ZhaoQing,3.6362031469200007
HuiZhou,ZhongShan,8.21113272648
HuiZhou,ZhuHai,5.438003677919999
JiangMen,ShenZhen,19.113033153959996
JiangMen,ZhaoQing,9.519819507360001
JiangMen,ZhongShan,75.98369864592001
JiangMen,ZhuHai,29.12589426276
ShenZhen,ZhaoQing,10.42276647816
ShenZhen,ZhongShan,44.84514229164
ShenZhen,ZhuHai,32.619882309480005
ZhaoQing,ZhongShan,9.26664181632
ZhaoQing,ZhuHai,3.976922300040001
ZhongShan,ZhuHai,233.62319913660002
