city1,city2,scaled_flow
DongGuan,FoShan,57.86393879828572
DongGuan,GuangZhou,242.797405795347
DongGuan,HuiZhou,196.14630696906124
DongGuan,JiangMen,15.661706729877555
DongGuan,ShenZhen,530.2001992106939
DongGuan,ZhaoQing,11.134172501197003
DongGuan,ZhongShan,28.012190812897963
DongGuan,ZhuHai,13.506663536081636
FoShan,GuangZhou,641.2246669219594
FoShan,HuiZhou,18.668094431510205
FoShan,JiangMen,82.61749070889795
FoShan,ShenZhen,48.41911207542858
FoShan,ZhaoQing,104.99749611648977
FoShan,ZhongShan,128.00767420579592
FoShan,ZhuHai,18.52022779934694
GuangZhou,HuiZhou,81.25790819510206
GuangZhou,JiangMen,57.161269888163275
GuangZhou,ShenZhen,159.42053531291015
GuangZhou,ZhaoQing,62.54520298016326
GuangZhou,ZhongShan,78.5722794487347
GuangZhou,ZhuHai,43.68048446465481
HuiZhou,JiangMen,4.084427079183676
HuiZhou,ShenZhen,303.0878967222858
HuiZhou,ZhaoQing,3.3263067063673475
HuiZhou,ZhongShan,7.465351045224491
HuiZhou,ZhuHai,4.715661478040817
JiangMen,ShenZhen,16.732972629551025
JiangMen,ZhaoQing,8.526908427428571
JiangMen,ZhongShan,71.50619013428572
JiangMen,ZhuHai,26.18495247673469
ShenZhen,ZhaoQing,9.005786858938773
ShenZhen,ZhongShan,38.46614071444898
ShenZhen,ZhuHai,27.464081336081634
ZhaoQing,ZhongShan,8.253939609551018
ZhaoQing,ZhuHai,3.3783044693877544
ZhongShan,ZhuHai,230.44107600440816
