Origin,Destination,scaled_flow
ZhongShan,ZhuHai,129.65061873375228
ZhongShan,FoShan,71.67431698434135
ZhongShan,GuangZhou,50.18573200143184
ZhongShan,JiangMen,41.51475797724037
ZhongShan,ShenZhen,18.35810931985848
ZhongShan,DongGuan,16.72364886203538
ZhongShan,ZhaoQing,5.411462009207076
ZhongShan,HuiZhou,4.704450330905308
JiangMen,FoShan,43.997921324728395
JiangMen,ZhongShan,39.06290550021228
JiangMen,GuangZhou,34.80380111725286
JiangMen,ZhuHai,15.366869839592093
JiangMen,ShenZhen,8.763632939987515
JiangMen,DongGuan,8.383557124470343
JiangMen,ZhaoQing,4.978130882122789
JiangMen,HuiZhou,2.3892374999875132
FoShan,GuangZhou,360.11413967420617
FoShan,ZhongShan,71.87927446230591
FoShan,ZhaoQing,61.31784041149636
FoShan,JiangMen,47.987875104649326
FoShan,DongGuan,33.66933643382309
FoShan,ShenZhen,29.94378202755047
FoShan,ZhuHai,12.890891498909467
FoShan,HuiZhou,12.23096619476379
HuiZhou,ShenZhen,176.78678699032253
HuiZhou,DongGuan,108.72709327741931
HuiZhou,GuangZhou,51.48079426451613
HuiZhou,FoShan,11.466470264516127
HuiZhou,ZhongShan,4.609945161290323
HuiZhou,ZhuHai,2.9150219903225807
HuiZhou,JiangMen,2.400244780645161
HuiZhou,ZhaoQing,2.1820407096774184
GuangZhou,FoShan,355.26239171044745
GuangZhou,DongGuan,134.78032967776483
GuangZhou,ShenZhen,95.81954772875336
GuangZhou,HuiZhou,50.16949921741934
GuangZhou,ZhongShan,45.86183532603122
GuangZhou,ZhaoQing,37.642109329198746
GuangZhou,JiangMen,32.846936166243495
GuangZhou,ZhuHai,26.25357306718001
ZhaoQing,FoShan,57.11049503865138
ZhaoQing,GuangZhou,37.76796485108428
ZhaoQing,DongGuan,6.137356931438084
ZhaoQing,ShenZhen,5.615052376757544
ZhaoQing,JiangMen,4.568215955862642
ZhaoQing,ZhongShan,4.705195615192506
ZhaoQing,ZhuHai,2.3186313067055146
ZhaoQing,HuiZhou,2.029080807309052
ZhuHai,ZhongShan,112.85799297362747
ZhuHai,GuangZhou,24.146547854647245
ZhuHai,JiangMen,13.337654185573358
ZhuHai,ShenZhen,12.497863315429761
ZhuHai,FoShan,10.538351285094693
ZhuHai,DongGuan,7.081041513802288
ZhuHai,HuiZhou,2.556924234705516
ZhuHai,ZhaoQing,2.1045978513964623
ShenZhen,DongGuan,318.04829396608534
ShenZhen,HuiZhou,187.48113493336103
ShenZhen,GuangZhou,103.835447303975
ShenZhen,FoShan,32.18949214951091
ShenZhen,ZhongShan,19.478167147404786
ShenZhen,ZhuHai,14.376182990235169
ShenZhen,JiangMen,9.391678731421436
ShenZhen,ZhaoQing,6.051893049590009
DongGuan,ShenZhen,304.13886084760463
DongGuan,GuangZhou,151.46420803170034
DongGuan,HuiZhou,124.21946117620395
DongGuan,FoShan,37.2816993534818
DongGuan,ZhongShan,18.768850734380855
DongGuan,JiangMen,10.087039868366285
DongGuan,ZhuHai,9.060248775558794
DongGuan,ZhaoQing,7.554845032445368
