Origin,Destination,net_flow
ZhongShan,ZhuHai,28.362212988387043
ZhongShan,FoShan,0.4770622010322825
ZhongShan,GuangZhou,6.390693026709663
ZhongShan,JiangMen,5.527457933806431
ZhongShan,ZhaoQing,2.7357482624516116
ZhongShan,HuiZhou,0.5897848215483865
JiangMen,ZhuHai,1.7634103467096747
JiangMen,ZhaoQing,1.2411201565161285
JiangMen,HuiZhou,0.0947547661935495
DongGuan,ShenZhen,11.082466453935524
DongGuan,GuangZhou,29.93247155032259
DongGuan,HuiZhou,30.419719734193563
DongGuan,FoShan,5.015143126451619
DongGuan,ZhongShan,2.922447000774202
DongGuan,JiangMen,2.700296581935482
DongGuan,ZhuHai,2.46107055948387
DongGuan,ZhaoQing,3.453318500516131
FoShan,GuangZhou,25.735105463225693
FoShan,ZhaoQing,21.986710555354826
FoShan,JiangMen,7.637810885419363
FoShan,ZhuHai,2.4131640565161288
FoShan,HuiZhou,2.0701173205161254
HuiZhou,ZhuHai,0.22327561509677496
HuiZhou,ZhaoQing,0.2426458587096776
GuangZhou,HuiZhou,3.9917942907096844
GuangZhou,ZhaoQing,7.828245901161274
GuangZhou,JiangMen,0.22208201419355333
GuangZhou,ZhuHai,4.23243296825806
ZhuHai,ZhaoQing,0.12198591290322591
ShenZhen,HuiZhou,21.801644809548378
ShenZhen,GuangZhou,6.85215744735487
ShenZhen,FoShan,1.6527813654193686
ShenZhen,ZhongShan,0.9035816934193512
ShenZhen,ZhuHai,2.6611126815483885
ShenZhen,JiangMen,1.3913300159999995
ShenZhen,ZhaoQing,1.6487909036129027
