Origin,Destination,Average_Proportion
JiangMen,FoShan,21.011935483870975
JiangMen,ZhongShan,17.70129032258065
JiangMen,GuangZhou,16.586129032258068
JiangMen,ZhuHai,7.475806451612903
JiangMen,ShenZhen,5.059354838709677
JiangMen,DongGuan,3.940645161290323
JiangMen,ZhaoQing,2.5583870967741933
JiangMen,HuiZhou,1.1683870967741936
ZhongShan,ZhuHai,30.26903225806452
ZhongShan,FoShan,16.39516129032258
ZhongShan,GuangZhou,11.309354838709679
ZhongShan,JiangMen,9.964516129032257
ZhongShan,ShenZhen,6.187096774193549
ZhongShan,DongGuan,3.710967741935483
ZhongShan,ZhaoQing,1.4129032258064513
ZhongShan,HuiZhou,1.1661290322580646
DongGuan,ShenZhen,34.14645161290323
DongGuan,GuangZhou,17.28322580645161
DongGuan,HuiZhou,14.760322580645159
DongGuan,FoShan,4.265806451612904
DongGuan,ZhongShan,2.156129032258065
DongGuan,JiangMen,1.2316129032258063
DongGuan,ZhuHai,1.1025806451612903
DongGuan,ZhaoQing,0.9525806451612904
ZhaoQing,FoShan,32.243870967741934
ZhaoQing,GuangZhou,21.24290322580645
ZhaoQing,ShenZhen,3.3364516129032262
ZhaoQing,DongGuan,3.545483870967742
ZhaoQing,JiangMen,2.871612903225806
ZhaoQing,ZhongShan,2.8125806451612902
ZhaoQing,ZhuHai,1.3574193548387097
ZhaoQing,HuiZhou,1.2267741935483871
ZhuHai,ZhongShan,40.36322580645161
ZhuHai,GuangZhou,8.939354838709678
ZhuHai,ShenZhen,5.596129032258065
ZhuHai,JiangMen,5.416451612903225
ZhuHai,FoShan,3.9735483870967743
ZhuHai,DongGuan,2.6287096774193546
ZhuHai,HuiZhou,1.0264516129032257
ZhuHai,ZhaoQing,0.8825806451612903
ShenZhen,DongGuan,28.60096774193548
ShenZhen,HuiZhou,17.48258064516129
ShenZhen,GuangZhou,9.58032258064516
ShenZhen,FoShan,3.0261290322580643
ShenZhen,ZhongShan,2.7961290322580643
ShenZhen,ZhuHai,1.690967741935484
ShenZhen,JiangMen,1.1196774193548384
ShenZhen,ZhaoQing,0.651935483870968
HuiZhou,ShenZhen,36.29870967741935
HuiZhou,DongGuan,22.091935483870973
HuiZhou,GuangZhou,10.75483870967742
HuiZhou,FoShan,2.507419354838709
HuiZhou,ZhongShan,1.019032258064516
HuiZhou,ZhuHai,0.6525806451612903
HuiZhou,JiangMen,0.583548387096774
HuiZhou,ZhaoQing,0.5238709677419355
FoShan,GuangZhou,42.737096774193546
FoShan,ZhongShan,8.300645161290324
FoShan,ZhaoQing,7.7296774193548385
FoShan,JiangMen,6.255806451612902
FoShan,DongGuan,3.87
FoShan,ShenZhen,3.6674193548387097
FoShan,ZhuHai,1.7038709677419355
FoShan,HuiZhou,1.574516129032258
GuangZhou,FoShan,27.78806451612903
GuangZhou,DongGuan,10.431612903225806
GuangZhou,ShenZhen,7.6554838709677435
GuangZhou,HuiZhou,4.131290322580645
GuangZhou,ZhongShan,3.554193548387097
GuangZhou,ZhaoQing,3.10516129032258
GuangZhou,JiangMen,2.823548387096775
GuangZhou,ZhuHai,2.198709677419355
